name_index,sexe_index,count,idmax,max,x,y,name,sexe,entropy,life
AALIYAH,2,1983,2017,199,6.58675,46.973,AALIYAH (F),0,2.73597,0.142857
AARON,1,22098,2017,2382,7.24793,50.5735,AARON (M),1,2.74207,0.117647
ABBY,2,1440,2014,163,5.78785,52.5303,ABBY (F),0,2.54419,0.109244
ABD,1,1477,2015,66,6.24685,14.7164,ABD (M),1,4.07885,0.546218
ABDALLAH,1,5259,2015,302,5.96944,17.7032,ABDALLAH (M),1,3.9095,0.487395
ABDEL,1,4444,1981,103,4.88876,-31.0201,ABDEL (M),1,4.17774,0.563025
ABDELAZIZ,1,2211,1971,74,1.8265,-35.6396,ABDELAZIZ (M),1,4.02878,0.537815
ABDELHAKIM,1,1483,1980,39,-12.9352,-27.4779,ABDELHAKIM (M),1,4.04908,0.512605
ABDELHAMID,1,1070,1964,34,5.54929,-33.1879,ABDELHAMID (M),1,4.11073,0.563025
ABDELKADER,1,9904,1971,343,3.25584,-35.7432,ABDELKADER (M),1,4.04133,0.537815
ABDELKARIM,1,1466,1991,47,-15.9778,-24.5964,ABDELKARIM (M),1,3.94046,0.462185
ABDELKRIM,1,2393,1967,90,9.0781,-40.1951,ABDELKRIM (M),1,3.87454,0.453782
ABDELLAH,1,2606,2011,84,-5.34663,-8.51797,ABDELLAH (M),1,4.00063,0.487395
ABDERRAHMANE,1,1660,2015,78,4.41456,16.521,ABDERRAHMANE (M),1,3.93841,0.478992
ABDOUL,1,1251,2016,60,1.00237,20.1944,ABDOUL (M),1,3.97488,0.386555
ABDOULAYE,1,3147,2013,149,-4.82073,9.59076,ABDOULAYE (M),1,3.69731,0.352941
ABDULLAH,1,1323,2016,81,0.497697,23.5398,ABDULLAH (M),1,3.53794,0.327731
ABEL,1,24348,1909,572,38.1538,8.93992,ABEL (M),1,4.3045,0.596639
ABIGAEL,2,2229,2015,145,-13.3424,36.0063,ABIGAEL (F),0,3.20377,0.218487
ABIGAELLE,2,2256,2014,190,-0.887498,40.4828,ABIGAELLE (F),0,3.11966,0.193277
ABIGAIL,2,2059,2017,123,-3.85982,24.6025,ABIGAIL (F),0,3.46235,0.302521
ABOUBACAR,1,1352,2017,106,8.66748,34.3084,ABOUBACAR (M),1,3.44473,0.277311
ABRAHAM,1,2295,2017,74,24.7182,12.8871,ABRAHAM (M),1,4.53097,0.798319
ABYGAELLE,2,1241,2011,98,-12.1857,43.4355,ABYGAELLE (F),0,2.95764,0.184874
ACHILLE,1,13935,2017,457,30.2013,13.2381,ACHILLE (M),1,4.28326,0.571429
ACHRAF,1,1876,2013,75,-15.9484,4.02185,ACHRAF (M),1,3.63623,0.336134
ADAM,1,58994,2016,4657,-1.52209,41.8257,ADAM (M),1,3.22539,0.184874
ADAMA,1,2166,2010,95,-5.81026,7.93115,ADAMA (M),1,3.65659,0.344538
ADAME,1,1545,2009,144,-28.0691,43.9719,ADAME (M),1,3.00896,0.168067
ADEL,1,8030,1998,365,-24.6859,3.71307,ADEL (M),1,3.75999,0.386555
ADELAIDE,2,11623,1987,488,20.9571,3.9054,ADELAIDE (F),0,4.431,0.655462
ADELE,2,39385,2015,1529,27.7218,14.5627,ADELE (F),0,4.30324,0.596639
ADELIA,2,1074,2016,54,23.2491,19.962,ADELIA (F),0,4.32177,0.663866
ADELIE,2,2354,2016,100,-10.7674,10.908,ADELIE (F),0,3.6658,0.294118
ADELINA,2,1740,1900,50,35.3651,15.4369,ADELINA (F),0,4.35114,0.579832
ADELINE,2,54293,1991,3221,-35.5393,-28.7925,ADELINE (F),0,3.98318,0.285714
ADEM,1,8621,2016,770,5.25546,46.7485,ADEM (M),1,3.11794,0.168067
ADIL,1,4925,2011,164,-8.3106,-6.5248,ADIL (M),1,3.77017,0.369748
ADOLPHE,1,16415,1908,593,51.5872,11.1786,ADOLPHE (M),1,3.80388,0.361345
ADOLPHINE,2,2169,1901,117,46.4534,20.1607,ADOLPHINE (F),0,3.57981,0.294118
ADONIS,1,1469,2017,91,22.3942,19.0553,ADONIS (M),1,4.08025,0.428571
ADRIAN,1,4880,1997,185,-17.6899,1.34515,ADRIAN (M),1,3.6631,0.327731
ADRIANA,2,2877,2000,166,-35.1096,12.5899,ADRIANA (F),0,3.73574,0.277311
ADRIANO,1,2290,2013,126,5.07009,18.2907,ADRIANO (M),1,3.93851,0.453782
ADRIEN,1,135062,1991,4356,-24.1145,-13.0922,ADRIEN (M),1,4.32177,0.655462
ADRIENNE,2,34909,1910,1228,52.9316,10.7825,ADRIENNE (F),0,3.83509,0.361345
AGATHE,2,46710,2017,1789,-10.0796,12.9297,AGATHE (F),0,4.07922,0.369748
AGLAE,2,1765,2006,94,20.5696,13.0562,AGLAE (F),0,3.91341,0.403361
AGNES,2,112625,1964,3872,23.626,-33.6147,AGNES (F),0,4.42121,0.756303
AHLEM,2,1284,1983,58,-19.6575,-33.0226,AHLEM (F),0,3.80862,0.403361
AHMED,1,19806,2017,508,-2.53207,-13.6245,AHMED (M),1,4.19352,0.554622
