name,sexe,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AALIYAH,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.14,0.29,0.35,0.33,0.32,0.28,0.31,0.35,0.43,0.62,0.67,0.81,0.68,0.92,0.91,0.95,1.00,0.00
AARON,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.03,0.04,0.05,0.05,0.05,0.05,0.13,0.17,0.23,0.35,0.53,0.52,0.61,0.68,0.67,0.75,0.81,0.87,0.98,1.00,0.00
ABBY,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.13,0.22,0.50,0.54,0.62,0.68,0.67,0.93,0.69,0.98,0.71,0.91,1.00,0.00
ABD,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.07,0.07,0.11,0.19,0.13,0.28,0.17,0.31,0.38,0.43,0.36,0.39,0.27,0.46,0.48,0.25,0.24,0.24,0.27,0.39,0.28,0.34,0.35,0.34,0.20,0.24,0.26,0.27,0.31,0.28,0.30,0.33,0.27,0.32,0.22,0.35,0.19,0.18,0.16,0.16,0.15,0.29,0.20,0.19,0.16,0.18,0.09,0.13,0.14,0.16,0.11,0.09,0.30,0.12,0.17,0.24,0.25,0.39,0.48,0.49,0.51,0.49,0.54,0.69,0.63,0.72,1.00,0.85,0.76,0.00
ABDALLAH,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.02,0.02,0.04,0.05,0.06,0.07,0.06,0.08,0.08,0.09,0.11,0.12,0.15,0.13,0.16,0.18,0.19,0.19,0.17,0.17,0.20,0.16,0.15,0.20,0.16,0.21,0.18,0.16,0.12,0.13,0.15,0.15,0.21,0.14,0.18,0.16,0.15,0.15,0.14,0.17,0.12,0.11,0.11,0.15,0.12,0.12,0.12,0.14,0.16,0.24,0.22,0.23,0.31,0.34,0.35,0.44,0.42,0.43,0.53,0.53,0.58,0.59,0.65,0.81,0.85,1.00,0.87,0.85,0.00
ABDEL,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.04,0.08,0.14,0.16,0.21,0.35,0.32,0.40,0.50,0.51,0.66,0.70,0.69,0.74,0.77,0.58,0.64,0.62,0.62,0.73,0.65,0.67,0.65,0.68,0.81,0.87,0.65,0.58,0.77,1.00,0.84,0.69,0.97,0.95,0.95,1.00,0.89,0.77,0.81,0.82,0.69,0.63,0.47,0.51,0.77,0.55,0.47,0.55,0.52,0.36,0.56,0.63,0.51,0.58,0.66,0.57,0.58,0.56,0.58,0.51,0.64,0.51,0.49,0.77,0.62,0.68,0.72,0.50,0.74,0.00
ABDELAZIZ,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.10,0.05,0.16,0.23,0.18,0.16,0.20,0.24,0.29,0.42,0.35,0.54,0.50,0.72,0.76,0.64,0.74,0.60,0.89,0.59,0.58,0.92,0.85,0.83,0.84,0.81,1.00,0.92,0.78,0.87,0.84,0.62,0.76,0.49,0.67,0.51,0.47,0.45,0.56,0.44,0.36,0.34,0.22,0.41,0.31,0.24,0.31,0.29,0.27,0.25,0.31,0.46,0.22,0.35,0.34,0.20,0.27,0.29,0.27,0.28,0.31,0.14,0.25,0.19,0.17,0.00
ABDELHAKIM,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.14,0.25,0.19,0.46,0.41,0.55,0.46,0.57,0.53,0.64,0.53,0.57,0.59,0.83,0.57,0.65,0.70,0.80,0.78,0.75,0.76,0.69,0.95,0.77,0.66,0.75,0.94,0.78,0.85,0.73,0.90,0.83,0.66,0.56,0.57,0.60,0.73,0.85,1.00,0.40,0.71,0.54,0.54,0.62,0.63,0.94,0.45,0.87,0.53,0.42,0.29,0.46,0.55,0.44,0.34,0.52,0.40,0.48,0.42,0.24,0.00
ABDELHAMID,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.19,0.13,0.19,0.22,0.16,0.22,0.16,0.44,0.47,0.55,0.71,0.80,1.00,0.83,0.87,0.80,0.93,0.83,0.58,0.68,0.47,0.76,0.68,0.59,0.65,0.70,0.82,0.52,0.65,0.72,0.66,0.91,0.72,0.95,0.64,0.54,0.58,0.75,0.51,0.65,0.49,0.48,0.55,0.54,0.32,0.36,0.42,0.24,0.17,0.47,0.44,0.31,0.44,0.50,0.43,0.36,0.46,0.53,0.39,0.36,0.40,0.30,0.47,0.52,0.53,0.25,0.00
ABDELKADER,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.03,0.04,0.04,0.04,0.09,0.16,0.16,0.21,0.22,0.22,0.25,0.37,0.38,0.43,0.53,0.62,0.64,0.75,0.85,0.89,0.81,0.80,0.96,0.89,0.87,0.92,1.00,0.94,0.78,0.95,0.82,0.72,0.81,0.78,0.87,0.71,0.69,0.47,0.55,0.39,0.35,0.36,0.32,0.36,0.37,0.31,0.32,0.24,0.29,0.29,0.25,0.31,0.31,0.33,0.35,0.30,0.28,0.26,0.32,0.31,0.27,0.22,0.24,0.20,0.18,0.24,0.20,0.20,0.17,0.00
