name_index,sexe_index,count,idxmax,max,x,y,name,sexe,entropy,life
AALIYAH,2,1983,2017,199,-47.36654,31.278336,AALIYAH (F),0.0,2.7359734931648587,0.14285714285714285
AARON,1,22098,2017,2382,-51.164173,34.345154,AARON (M),1.0,2.7420688205951746,0.11764705882352941
ABBY,2,1440,2014,163,-50.924736,36.73939,ABBY (F),0.0,2.544191657042583,0.1092436974789916
ABD,1,1477,2015,66,-42.435184,4.745782,ABD (M),1.0,4.078853158976299,0.5462184873949579
ABDALLAH,1,5259,2015,302,-41.471413,7.319811,ABDALLAH (M),1.0,3.909500192423032,0.48739495798319327
ABDEL,1,4444,1981,103,16.72949,-33.502907,ABDEL (M),1.0,4.177737366709084,0.5630252100840336
ABDELAZIZ,1,2211,1971,74,15.274259,-38.66319,ABDELAZIZ (M),1.0,4.0287776706631835,0.5378151260504201
ABDELHAKIM,1,1483,1980,39,1.5617424,-32.82208,ABDELHAKIM (M),1.0,4.049080388825291,0.5126050420168067
ABDELHAMID,1,1070,1964,34,18.04297,-35.36322,ABDELHAMID (M),1.0,4.110725843641103,0.5630252100840336
ABDELKADER,1,9904,1971,343,16.604057,-38.387196,ABDELKADER (M),1.0,4.041327632846262,0.5378151260504201
ABDELKARIM,1,1466,1991,47,-1.9257467,-30.629663,ABDELKARIM (M),1.0,3.940456843265861,0.46218487394957986
ABDELKRIM,1,2393,1967,90,23.077263,-40.73785,ABDELKRIM (M),1.0,3.8745448422038105,0.453781512605042
ABDELLAH,1,2606,2011,84,-24.47508,-10.842414,ABDELLAH (M),1.0,4.000632918500806,0.48739495798319327
ABDERRAHMANE,1,1660,2015,78,-39.91485,6.551542,ABDERRAHMANE (M),1.0,3.938414224429023,0.4789915966386555
ABDOUL,1,1251,2016,60,-36.09104,10.040796,ABDOUL (M),1.0,3.974882738797031,0.3865546218487395
ABDOULAYE,1,3147,2013,149,-29.19925,3.2950737,ABDOULAYE (M),1.0,3.6973059261402237,0.35294117647058826
ABDULLAH,1,1323,2016,81,-36.15949,13.125176,ABDULLAH (M),1.0,3.5379438061382356,0.3277310924369748
ABEL,1,24348,1909,572,36.726933,17.770376,ABEL (M),1.0,4.304501711958246,0.5966386554621849
ABIGAEL,2,2229,2015,145,-25.73632,30.16504,ABIGAEL (F),0.0,3.2037722851318486,0.2184873949579832
ABIGAELLE,2,2256,2014,190,-39.613186,29.30997,ABIGAELLE (F),0.0,3.119660453209811,0.19327731092436976
ABIGAIL,2,2059,2017,123,-33.56766,15.323025,ABIGAIL (F),0.0,3.462346422012834,0.3025210084033613
ABOUBACAR,1,1352,2017,106,-45.083145,19.822754,ABOUBACAR (M),1.0,3.4447260097568724,0.2773109243697479
ABRAHAM,1,2295,2017,74,23.835863,16.797308,ABRAHAM (M),1.0,4.530968960775692,0.7983193277310925
ABYGAELLE,2,1241,2011,98,-29.225954,38.18248,ABYGAELLE (F),0.0,2.9576410907796076,0.18487394957983194
ACHILLE,1,13935,2017,457,28.66386,19.038149,ACHILLE (M),1.0,4.283255864251648,0.5714285714285714
ACHRAF,1,1876,2013,75,-17.349487,0.8168211,ACHRAF (M),1.0,3.6362271876070946,0.33613445378151263
ADAM,1,58994,2016,4657,-39.580437,30.998482,ADAM (M),1.0,3.2253925725971744,0.18487394957983194
ADAMA,1,2166,2010,95,-27.856459,2.0187669,ADAMA (M),1.0,3.656588384207159,0.3445378151260504
ADAME,1,1545,2009,144,-13.257463,42.132748,ADAME (M),1.0,3.0089581595287522,0.16806722689075632
ADEL,1,8030,1998,365,-7.0579214,1.3119203,ADEL (M),1.0,3.7599945599998246,0.3865546218487395
ADELAIDE,2,11623,1987,488,24.261705,7.3297024,ADELAIDE (F),0.0,4.4310007270636715,0.6554621848739496
ADELE,2,39385,2015,1529,26.197779,19.892813,ADELE (F),0.0,4.3032419200946785,0.5966386554621849
ADELIA,2,1074,2016,54,-38.506634,21.35525,ADELIA (F),0.0,4.321768609485576,0.6638655462184874
ADELIE,2,2354,2016,100,-23.544064,5.256454,ADELIE (F),0.0,3.6658022309447955,0.29411764705882354
ADELINA,2,1740,1900,50,32.165466,22.982645,ADELINA (F),0.0,4.35113522511511,0.5798319327731093
ADELINE,2,54293,1991,3221,-18.171204,-37.015045,ADELINE (F),0.0,3.9831808930211983,0.2857142857142857
ADEM,1,8621,2016,770,-47.728035,32.250557,ADEM (M),1.0,3.1179367989871762,0.16806722689075632
ADIL,1,4925,2011,164,-22.533195,-9.298458,ADIL (M),1.0,3.770174193720107,0.3697478991596639
ADOLPHE,1,16415,1908,593,47.95742,24.323517,ADOLPHE (M),1.0,3.8038782142689658,0.36134453781512604
ADOLPHINE,2,2169,1901,117,40.215347,31.049677,ADOLPHINE (F),0.0,3.579806944334038,0.29411764705882354
